,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Austria,30,65.3,21.127218927564115,66.09916510146297,-350.56216450880163,65.3675475270131
1,2020-04-29,Austria,30,65.2,-9.378085819078478,-57.62168259448231,-516.0392393684444,1412.3369730000738
2,2020-04-30,Austria,30,65.4,20.243320139578657,-213.38172996787154,-823.2144454278407,84.48406784214907
3,2020-05-01,Austria,30,64.1,-12.743816111784724,-206.8213701689271,-1043.5335699495008,117.94556270943244
4,2020-05-02,Austria,30,62.5,-327.0207398941115,-323.695390175421,-1423.0903045951272,548.8062824051466
5,2020-05-03,Austria,30,54.6,-430.4952714307872,-417.128898955691,-1946.598046820845,-69.80572602123507
6,2020-05-04,Austria,30,55.3,-133.57555715098607,-486.7067572808431,-2571.5519155212487,-812.7411293887004
7,2020-05-05,Austria,30,50.1,-191.61420661151254,-781.2081415883538,-3455.8867312622274,-1127.845721421343
8,2020-05-06,Austria,30,45.2,-598.0894248104837,-973.223464668516,-4465.946964749028,473.16151165504095
9,2020-05-07,Austria,30,46.2,-387.84170585737724,-899.7681091544528,-5659.019622089615,-5599.705640462126
10,2020-05-08,Austria,30,41.7,-443.4731984582107,-1483.5518184451416,-7349.605360935291,-3435.9351889135582
11,2020-05-09,Austria,30,42.1,-55.18362034397376,-1394.0158314583891,-8601.311195833485,-5487.765722423003
12,2020-05-10,Austria,30,41.3,52.57442357759987,-178.46464621198578,-10463.209722177253,-6873.8434521961435
13,2020-05-11,Austria,30,36.3,-118.79515737889682,14.1019460426499,-13648.27667080726,-9729.154437377758
14,2020-05-12,Austria,30,41.6,435.28418213048053,301.06904678842216,-16807.486481645512,-7616.338249171636
15,2020-05-13,Austria,30,44.0,804.3634277305043,-37.75959381146146,-19842.654763162354,-9592.300199867675
16,2020-05-14,Austria,30,42.6,-156.89486229196592,1602.255719901462,-23834.427969192817,-11468.148150405626
17,2020-05-15,Austria,30,43.6,-1303.079007639096,2182.7473138652977,-28176.95502465547,-11847.270822106455
18,2020-05-16,Austria,30,48.2,-272.1498893782113,3080.249684866617,-31449.285484873366,-10914.929919962502
