,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Belgium,30,762.7,889.9470183075964,904.7166966640364,762.7000794455225,762.786145590104
1,2020-04-29,Belgium,30,747.4,1113.7964652427017,761.3906512181361,762.8807682753106,6410.66230313119
2,2020-04-30,Belgium,30,755.2,1090.947987169975,1033.2134850065738,585.753119784312,3481.293984911099
3,2020-05-01,Belgium,30,686.0,771.9180606486623,186.4563820345884,496.55647393192135,-8456.836011211184
4,2020-05-02,Belgium,30,582.7,1709.0485904495804,610.6447413739634,729.065388374896,-15141.643184866793
5,2020-05-03,Belgium,30,533.5,1635.164519563157,652.8405016658688,825.462881071027,2908.449473556415
6,2020-05-04,Belgium,30,449.9,2988.714584374345,684.4821228875276,1653.0617093494702,4356.855486955712
7,2020-05-05,Belgium,30,435.8,3078.296243052898,600.3863820394388,2033.3502050391228,-3007.1609743253357
8,2020-05-06,Belgium,30,451.7,2776.821046781881,570.4444466932498,989.2708327604064,-373.68629255624535
9,2020-05-07,Belgium,30,486.4,1520.174802040516,-490.0332235721619,-36.615580700754435,-4473.334532379355
10,2020-05-08,Belgium,30,455.1,4014.6910722327184,1793.552411268081,183.66293498894782,-36998.700990412006
11,2020-05-09,Belgium,30,446.5,3969.558932360809,3074.745734617177,2016.8986696399397,-58707.56041956731
12,2020-05-10,Belgium,30,418.3,7097.575567638649,3158.58036193472,3389.860532340268,-36638.26872502217
13,2020-05-11,Belgium,30,371.5,8828.686590503841,1884.2045483878044,7573.375424739932,-31457.488305654086
14,2020-05-12,Belgium,30,395.4,15602.422964488238,1601.8701613362682,6554.421177038315,-40027.5786872538
15,2020-05-13,Belgium,30,406.3,16276.97084112574,6577.002334191277,6861.271293334379,-35615.83829413153
16,2020-05-14,Belgium,30,424.4,9511.173053796329,2861.7520780881214,660.8066367196207,-36200.13131043222
17,2020-05-15,Belgium,30,387.9,17119.9461837892,7321.909934145391,3257.4581325074264,-69322.54430382112
18,2020-05-16,Belgium,30,367.9,18983.23979407529,15357.76777875221,13774.93926331113,-91616.11052233353
19,2020-05-17,Belgium,30,327.4,24467.28072315275,12434.96307341877,21934.703126746437,-57331.131422123115
20,2020-05-18,Belgium,30,291.3,32806.433423047434,11319.920300875847,19765.435550190447,-53858.88061915974
21,2020-05-19,Belgium,30,274.7,43296.09502507684,9493.392624475544,22152.99511197408,-56354.991484090955
22,2020-05-20,Belgium,30,279.9,43292.335857939215,19429.70513705746,15104.344804075465,-21627.36065760044
23,2020-05-21,Belgium,30,306.6,37387.90577597402,25155.378257813667,5410.536653741941,-13620.303514392537
24,2020-05-22,Belgium,30,266.0,53507.862289020784,27331.34397949772,24648.66201155223,-65242.30316960969
25,2020-05-23,Belgium,30,251.3,80153.42948546741,48246.04707402251,52209.52221950983,-100450.99472420235
26,2020-05-24,Belgium,30,231.5,71930.50357620172,36575.21764964389,61109.728017014975,-110262.73953242028
27,2020-05-25,Belgium,30,208.5,96304.28818804523,28403.892772079005,44199.05497118886,-90803.56826118809
28,2020-05-26,Belgium,30,205.2,111948.76825731761,37284.84111636771,41496.731375515985,-63302.66951187077
29,2020-05-27,Belgium,30,210.7,116172.37683088443,72670.54531898916,24795.826300101653,-39288.481678422424
30,2020-05-28,Belgium,60,220.8,280.6633824206974,115.82156153940434,-1084.6601317015875,220.89910075887957
31,2020-05-29,Belgium,60,206.2,-522.8061941678147,-464.27317126491903,-1146.9890438100524,958.0097579801316
32,2020-05-30,Belgium,60,193.5,510.7949018360599,57.50905522634798,-1694.539713910141,4657.768440444635
33,2020-05-31,Belgium,60,161.1,-377.1733117363017,-203.7013802464419,-2141.882644171458,28861.23893055425
34,2020-06-01,Belgium,60,159.0,-959.6907702288004,-684.1862808952565,-2497.9092870978384,10257.909561543393
35,2020-06-02,Belgium,60,140.1,-1886.8803053503557,-1537.156228642143,-2718.632206901316,-12309.734475433457
36,2020-06-03,Belgium,60,146.1,-3531.9602502446123,-2171.2211916533515,-3727.177394944277,13786.414757600143
