,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,France,30,1651.8,1570.1284834542219,1528.2363869530814,1521.2332887336988,1651.8722332626946
1,2020-04-29,France,30,1501.4,889.4124210547307,913.2248346041351,851.6439132730363,22556.320399312535
2,2020-04-30,France,30,1583.6,1430.213596553789,508.8453531053465,604.5513178124711,9316.753104109144
3,2020-05-01,France,30,1492.4,584.826774823176,-306.7742372128496,-110.69164406248024,-16083.754292970667
4,2020-05-02,France,30,1286.1,592.8631690947223,-784.6121447950936,-429.1212583539352,-34626.25280366375
5,2020-05-03,France,30,1182.8,-68.27177955480784,-1957.2543377551829,-1788.7045260256675,24413.792191629647
6,2020-05-04,France,30,1048.3,-229.9609645383839,-2229.208476390957,-2154.785520331985,46518.37472054013
7,2020-05-05,France,30,928.6,-1249.8647505831514,-3578.204810819553,-3503.093887438142,-46118.02440116703
8,2020-05-06,France,30,885.3,-1485.0668227418519,-4760.926543349924,-4195.517447236882,17009.30947928736
9,2020-05-07,France,30,1257.5,-375.21618718341733,-5574.466683490473,-5067.013159053697,7117.6250115130115
10,2020-05-08,France,30,1200.9,1625.5513056120815,-7139.463797406108,-6282.121109634042,-16710.011619358032
11,2020-05-09,France,30,1158.6,-1954.5540561445205,-10657.995846845031,-8485.627894191819,-102662.12915371562
12,2020-05-10,France,30,1041.2,4763.268123785863,-12037.96640535721,-9273.921591012977,-157051.24416422937
13,2020-05-11,France,30,948.2,5141.236652785388,-14338.068642550736,-10613.981011663167,34513.06744158326
14,2020-05-12,France,30,933.4,1629.6011513191065,-14207.208299325068,-13437.199409596402,-3710.7485390002826
15,2020-05-13,France,30,924.8,9458.497918299774,-18194.067106809125,-12551.873880377792,-311012.11882494
16,2020-05-14,France,30,944.7,9457.58056953784,-19970.926063485727,-16141.201502085067,-277003.2173400746
17,2020-05-15,France,30,949.3,20305.900894439605,-22049.315864005694,-13438.419868315686,-211619.88026608172
18,2020-05-16,France,30,895.2,20252.474032723498,-20693.021445974467,-15706.324180851607,-447631.57059005764
19,2020-05-17,France,30,514.1,26766.877636796293,-27545.700575395836,-17248.909271510754,-416399.42288463755
20,2020-05-18,France,30,463.2,34555.735355034805,-24813.92325295038,-18116.283170833896,-267455.94516827504
21,2020-05-19,France,30,448.2,39280.5434080765,-21828.897572854337,-14738.464343732092,-279295.5697956555
22,2020-05-20,France,30,457.3,41099.921038922905,-27604.774085192897,-16071.221837902183,-222666.70831372734
23,2020-05-21,France,30,478.2,61358.977161027484,-27004.63627747477,-11867.10542642124,-132069.18242071784
24,2020-05-22,France,30,464.4,64073.905100488446,-20932.322616524565,-16430.68871298867,-129219.22671166155
25,2020-05-23,France,30,433.9,82445.65674791498,-25022.016965457486,-10939.796214186792,-235339.85513712937
26,2020-05-24,France,30,407.2,67735.79684450463,-27273.481433952627,-11042.741215991311,-222606.87588338883
27,2020-05-25,France,30,356.5,129670.02052931492,-20607.68636818148,-14241.138187562325,11878.95582296391
28,2020-05-26,France,30,336.0,132594.78454607935,-17503.058121510345,-4349.262311886929,40424.06291744394
29,2020-05-27,France,30,326.4,104977.77820586613,-19494.09679711229,-14064.050329245707,-80512.30332160663
30,2020-05-28,France,60,333.5,-464.25520321602835,67.06459757423545,8797.406595871804,333.599674206725
