,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Iran,30,1197.8,1205.9147080368662,1197.5024312853707,587.9794220014942,1197.7018295630517
1,2020-04-29,Iran,30,1171.6,977.0910204149934,908.4665570414975,-271.53220080848973,-4878.560826857294
2,2020-04-30,Iran,30,1144.6,518.350795868603,527.1420955304798,1189.075880804328,-5449.92196679649
3,2020-05-01,Iran,30,1113.5,312.3487064876847,412.76630865449965,-1955.7583291941112,-5320.869238474497
4,2020-05-02,Iran,30,1084.4,-154.73598966546092,-262.26583211670754,-15.619612819004828,-3966.2283898116475
5,2020-05-03,Iran,30,1045.2,-376.7565664724232,-961.9511977141226,-1095.3363649415069,5676.54826686838
6,2020-05-04,Iran,30,1039.8,-1493.998669889266,-2167.0441131233283,-8717.25396701998,20283.64566101821
7,2020-05-05,Iran,30,1045.3,-636.4081390486419,-3118.3243058133357,-13688.101369565928,33418.81793576503
8,2020-05-06,Iran,30,1064.2,-2691.83531138767,-5687.811371878365,-17723.56630571613,36221.50081565948
9,2020-05-07,Iran,30,1116.9,-3831.087638962127,-9268.974170396928,-23564.470869384506,45355.44618252758
10,2020-05-08,Iran,30,1166.3,-2853.3681277103524,-12562.79574063946,-33066.50006364586,48387.536997832925
11,2020-05-09,Iran,30,1210.7,-8540.331220896442,-19522.88307586527,-36544.27193521497,33540.46661899158
12,2020-05-10,Iran,30,1256.3,-7623.978425494451,-28232.089493887088,-45781.84828559618,21938.47694289369
13,2020-05-11,Iran,30,1296.3,-15840.020193915854,-35959.71460578221,-47277.98796780113,12319.914121164653
14,2020-05-12,Iran,30,1364.0,-13226.099362094887,-27212.519059402755,-41805.76955392766,591.1242714781731
15,2020-05-13,Iran,30,1431.9,-9117.11728863535,-33938.1553042273,-63699.77512993361,-14175.006859011086
16,2020-05-14,Iran,30,1530.1,-24256.074299156815,-55629.441878894024,-63519.98272179837,-79105.70131384862
17,2020-05-15,Iran,30,1588.6,-22099.742441365077,-47431.94166930049,12056.182771342661,-939.8286877208263
18,2020-05-16,Iran,30,1666.5,-16877.66696315713,-34690.406882245785,-57053.924755584274,30036.636223828293
19,2020-05-17,Iran,30,1674.2,-11150.061279806085,-32290.989260912906,-57513.62017001061,-16338.445517134398
20,2020-05-18,Iran,30,1706.3,-17326.486107900204,-43178.26637535083,16258.114651971975,-41659.421295922635
21,2020-05-19,Iran,30,1780.1,-18546.00404094321,-46512.30955670068,-62696.62209003872,-15999.637489672805
22,2020-05-20,Iran,30,1838.3,-20637.02492029806,-52691.90770386331,-68341.69571207186,10084.16792060492
23,2020-05-21,Iran,30,1934.6,-24956.63552748477,-61240.29520404908,-74847.3155845812,-28907.698591968936
24,2020-05-22,Iran,30,2005.5,-26357.50122809643,-61866.78958156285,8235.40485993322,-10375.496901305927
25,2020-05-23,Iran,30,2088.5,-25936.227063732676,-54792.79671874882,-68946.34939384785,-1696.870225660419
26,2020-05-24,Iran,30,2079.6,-21967.072048884667,-51493.886021220605,-66373.288291496,-2429.1793014611358
27,2020-05-25,Iran,30,2116.8,-24448.881421818096,-56124.53326172114,-71615.4645931466,8618.221138073433
28,2020-05-26,Iran,30,2108.9,-28612.095502209446,-56258.21955495071,-70975.027351689,9307.686429805983
29,2020-05-27,Iran,30,2111.9,-22417.568952855196,-53973.67330060388,-74336.72000984433,12493.96072986958
30,2020-05-28,Iran,60,2139.3,2196.665317388711,2183.5951863016444,1916.477737662993,2139.3997151613576
31,2020-05-29,Iran,60,2135.7,2342.550156296409,2501.141964758184,4246.879971178369,8759.249063340882
32,2020-05-30,Iran,60,2206.5,2177.5247372384742,2583.4197613391716,4728.6309801462085,4868.366401393009
33,2020-05-31,Iran,60,2200.1,2337.8989881460534,2649.6403259806148,4119.621103935693,15316.888346867468
34,2020-06-01,Iran,60,2212.5,1979.2462585163132,2641.7160322692366,5470.639445390305,13503.106014827892
35,2020-06-02,Iran,60,2279.3,2087.521749216211,2854.038171053513,3416.6834338718536,21048.226984931942
36,2020-06-03,Iran,60,2404.1,2634.4956831901436,3121.3495432370028,5766.142554853119,18824.16480345022
37,2020-06-04,Iran,60,2499.5,1925.4111004298593,2876.0200249883837,5124.784340514427,19187.669292009567
38,2020-06-05,Iran,60,2654.6,1938.332270331252,2703.9696941354823,5975.0952830712595,22950.091222563384
39,2020-06-06,Iran,60,2764.5,2399.5507524132713,2859.735761154979,5688.542157872884,28141.245869203867
40,2020-06-07,Iran,60,2783.4,2671.5654935470725,3162.535414418453,5863.956032222778,22547.479534388363
41,2020-06-08,Iran,60,2794.0,2496.20008919642,3172.023152702577,5344.65823721758,19969.955975592977
42,2020-06-09,Iran,60,2716.4,2556.3607409274564,3355.3217741383323,6687.121332186331,22170.305284112903
43,2020-06-10,Iran,60,2697.7,2467.436229364128,3522.4255502182086,5707.988452855114,24912.913667852536
44,2020-06-11,Iran,60,2647.2,2455.7214335092553,3514.202114260703,5871.28237274313,16323.99860373942
45,2020-06-12,Iran,60,2573.1,2351.784444225022,3439.005675307373,5900.794206766093,11162.987163283273
46,2020-06-13,Iran,60,2498.3,2439.974670487709,3556.939530012235,5860.083364424769,13949.417258628782
47,2020-06-14,Iran,60,2425.9,2743.8268500678587,3480.02927647491,5881.003394811305,19613.745709698615
