,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Italy,30,2698.0,2705.655033890046,2730.557073222843,4902.7137135087005,2697.901757579886
1,2020-04-29,Italy,30,2558.0,3275.7877300604914,2928.979462386541,7096.556440113382,480.43746432470635
2,2020-04-30,Italy,30,2461.9,4827.870745817242,3080.7517961186327,7080.523909974075,50098.634705080774
3,2020-05-01,Italy,30,2423.5,6219.880941322728,1337.704338310402,7477.939366394689,48210.12140741654
4,2020-05-02,Italy,30,2347.1,8948.915157995403,472.39770210401366,7547.929593305705,-3913.732619819224
5,2020-05-03,Italy,30,2200.1,7992.5671269331515,-924.6974130497874,7994.672607084852,-100618.14079087175
6,2020-05-04,Italy,30,2074.4,8140.650171263593,-2293.6120218904643,10127.074417840622,-175581.01475911238
7,2020-05-05,Italy,30,1894.4,13630.275802191753,1771.6294960826112,9371.051913187115,-195560.95350608724
8,2020-05-06,Italy,30,1766.2,17263.15117459252,-2375.494098565332,8849.610953742404,-182487.78129190672
9,2020-05-07,Italy,30,1678.2,23770.02154618178,-4815.201092109344,11452.335447852856,-171297.9254873477
10,2020-05-08,Italy,30,1644.4,31756.318135262463,-2234.804019480931,7253.173769614754,-163318.65250711993
11,2020-05-09,Italy,30,1568.0,31216.577761854594,-16100.271726212035,8436.448537132268,-203593.7393585313
12,2020-05-10,Italy,30,1467.7,44216.937348358246,-12232.943865390083,9585.446329566978,-253859.59366050462
13,2020-05-11,Italy,30,1360.7,41520.12934708333,-8551.996026056733,10765.069775023898,-304202.85364605184
14,2020-05-12,Italy,30,1238.6,56584.05372426522,-16287.713201973216,8288.586995275287,-275841.2927308171
15,2020-05-13,Italy,30,1188.8,74809.02035745008,-5555.223002695491,10361.660944943273,-233528.30231393722
16,2020-05-14,Italy,30,1138.7,91347.43891519168,-15964.26327158749,6779.849819173593,-203301.97205612634
17,2020-05-15,Italy,30,1115.8,115782.43957589116,-24399.933844377756,1126.9879733518865,-167867.6588684345
18,2020-05-16,Italy,30,1087.2,152630.20911374345,-30067.347217724822,270.69626019791576,-153496.8081046875
19,2020-05-17,Italy,30,1030.3,143594.010366662,-66029.6065108299,2895.2834347883327,-167173.42570187786
20,2020-05-18,Italy,30,957.7,169185.96965085104,-28638.644340013896,-1027.5597686943765,-189066.2179192638
21,2020-05-19,Italy,30,870.1,195382.0795548662,-15106.222502862453,-2202.3610152068104,-168780.64598196873
22,2020-05-20,Italy,30,843.1,280424.12739919283,-64150.94818173301,-3963.2699784305078,-117117.18271417776
23,2020-05-21,Italy,30,829.4,305987.84246282966,-42524.19489256434,-4983.543017066571,-75183.39032127458
24,2020-05-22,Italy,30,819.2,304274.8100200588,-100363.58767253582,-5935.381186593149,-38970.77690458623
25,2020-05-23,Italy,30,744.2,354318.643520508,-93576.4658732863,-7051.943298792488,-27362.864858782086
26,2020-05-24,Italy,30,722.3,401884.95990965696,-71849.22239780222,-8688.01209211701,-61305.90073255987
27,2020-05-25,Italy,30,676.2,450147.75939108594,-108750.5049247359,-12224.242469215638,-105604.46084399492
28,2020-05-26,Italy,30,627.3,549842.2723143845,-21389.82512359181,-14385.608716419047,-126338.2953413142
29,2020-05-27,Italy,30,579.5,601130.0231314906,-113697.84775756631,-15741.616289693644,-98544.32173678077
