,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Norway,30,74.2,81.1579133344272,81.8665978328037,208.4364710912095,74.29052112543687
1,2020-04-29,Norway,30,62.1,78.01682114985267,70.00882520619761,87.38423408715772,699.0725965536689
2,2020-04-30,Norway,30,59.9,71.4499362634867,5.824701474494617,262.2816949441607,1334.9756316987873
3,2020-05-01,Norway,30,59.7,136.05242602663236,27.771446295367298,60.469741719755156,1466.9664505795454
4,2020-05-02,Norway,30,59.3,29.543861916379825,49.23212664151107,352.8256963520049,2219.8769611501834
5,2020-05-03,Norway,30,50.9,108.4176509639293,1.439807459902113,418.07470357033236,3115.7504789107534
6,2020-05-04,Norway,30,46.4,150.71078927054995,-22.7248879277534,425.1178872036855,2642.031386269336
7,2020-05-05,Norway,30,43.9,187.38997742179657,47.905054479241244,761.8914792604203,4304.126551226632
8,2020-05-06,Norway,30,43.6,235.23166858489324,-108.22369036146233,-71.1192438448724,3921.534872178579
9,2020-05-07,Norway,30,44.8,171.42457592342893,-36.938226369334245,719.6527002008693,5861.904394463024
10,2020-05-08,Norway,30,46.2,375.87796068586505,149.2954452528118,994.0399878791272,4676.655410225169
11,2020-05-09,Norway,30,42.9,106.9413745923446,-160.1467191719184,1421.2437760387475,3309.83451848116
12,2020-05-10,Norway,30,40.2,416.0363638349264,-59.629818227350455,1653.320942059047,148.13985154729963
13,2020-05-11,Norway,30,38.9,888.4536070806794,-219.0600800010189,1903.1624575132448,-1470.6275273213664
14,2020-05-12,Norway,30,34.7,1514.4168294627452,328.84134694105626,4335.461174896209,-1361.1017380443686
15,2020-05-13,Norway,30,37.6,1437.8509578948021,424.6484547779958,3787.8815236038386,-438.7051019580218
16,2020-05-14,Norway,30,34.9,138.77075287769475,-621.6767083945633,779.8941992363938,828.7095604280688
17,2020-05-15,Norway,30,32.8,2274.9093911973932,418.98716063817915,5549.532658507827,1480.558619029392
18,2020-05-16,Norway,30,29.4,1462.8500192116471,257.368926751162,3778.7560290411557,258.4114391536972
