,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Russia,30,5513.9,4872.695419430251,5039.695150580074,5513.892485583917,5513.310675006329
1,2020-04-29,Russia,30,5676.5,6614.688659197396,6411.0883999546395,6721.186029546083,8625.36129322304
2,2020-04-30,Russia,30,5654.6,7056.352661056168,6734.194736722062,7950.998160514695,10841.143401481262
3,2020-05-01,Russia,30,5937.7,7965.047361761257,7182.515258657055,9363.928342171468,11810.474055243953
4,2020-05-02,Russia,30,6166.8,9860.426300047384,9337.603623927558,10520.303006251484,14153.287387007138
5,2020-05-03,Russia,30,6605.5,9433.501323206681,10259.161340358578,10804.5396136495,15760.875557514351
6,2020-05-04,Russia,30,7191.4,12772.773882723855,14036.30277765562,15033.474410039831,16439.749844083115
7,2020-05-05,Russia,30,7664.6,16536.27474896688,16501.129231900515,19858.989455514275,23739.66329902909
8,2020-05-06,Russia,30,8078.2,19258.637994595723,18619.408708946743,26234.49053878632,33150.41146857245
9,2020-05-07,Russia,30,8498.0,25738.370391121804,24046.898323323618,33367.61337203082,38924.50913713554
10,2020-05-08,Russia,30,9001.3,25885.247308640966,25470.884225844176,35612.320308263115,47316.71489648972
11,2020-05-09,Russia,30,9430.1,33468.201982630235,33841.31253884915,45795.572289124175,57287.56107864907
12,2020-05-10,Russia,30,9927.7,39859.82876755129,40071.17772834388,54747.275573939405,65466.535625535966
13,2020-05-11,Russia,30,10319.0,44447.09958550942,46961.95941279376,67167.9518730003,86999.05426053304
14,2020-05-12,Russia,30,10691.3,60990.89291241956,59409.02079748758,83986.523630403,101518.98899986804
15,2020-05-13,Russia,30,10818.9,71591.09763483796,70364.82570854378,100775.22551613799,129896.13165422692
16,2020-05-14,Russia,30,10758.4,84888.27940679423,81069.90802952912,122243.48322051633,152427.56916156996
17,2020-05-15,Russia,30,10697.7,98624.13549261904,96944.60393506337,139389.28794653848,153596.66019268127
18,2020-05-16,Russia,30,10747.3,108466.59787099162,109838.96509987023,100541.8362812458,168337.41562816323
19,2020-05-17,Russia,30,10611.4,128021.72155192393,126350.81054437824,181069.65647530317,200147.2305915203
20,2020-05-18,Russia,30,10459.2,150363.8721788137,166271.71099040643,141500.3066351979,233898.06758557257
21,2020-05-19,Russia,30,10281.9,195679.52961864037,192076.7735667594,166651.95398494147,269823.9886906382
22,2020-05-20,Russia,30,10126.5,211291.54769298167,219597.64948853763,250481.43184031983,309750.9373427495
23,2020-05-21,Russia,30,9901.7,275800.69599936396,255743.67954591132,160140.04741983488,375202.6692630661
24,2020-05-22,Russia,30,9621.0,291092.4803289669,301698.1734452535,295344.04075564526,413471.61422181176
25,2020-05-23,Russia,30,9420.5,329168.8207242871,327818.71964742383,118548.58652691069,469825.8615195925
26,2020-05-24,Russia,30,9361.1,387880.35222240613,410440.02867700293,94879.42877201646,559470.96084027
27,2020-05-25,Russia,30,9223.6,448717.2965879889,445842.6277245606,91408.8298357769,625689.4566465169
28,2020-05-26,Russia,30,9058.4,521310.263682448,534626.2878219848,117212.66087890862,727703.9485447853
29,2020-05-27,Russia,30,9029.9,615444.9588772499,570542.8221564592,129627.32143199301,824678.8392017815
30,2020-05-28,Russia,60,8892.8,10321.78125904651,7260.539950386976,22729.82171729854,8892.700204597093
31,2020-05-29,Russia,60,8837.3,11049.910079962654,8036.84490124247,22799.015651539215,18960.640688018182
32,2020-05-30,Russia,60,8768.2,12636.195882688367,8605.931886611634,27185.356072096663,47477.749597720285
33,2020-05-31,Russia,60,8787.0,13356.631917859551,7828.1257755020715,32441.469641229734,-41932.370197182456
34,2020-06-01,Russia,60,8828.9,14234.506836919161,9608.243464887866,35897.5016939077,-137202.9889863807
35,2020-06-02,Russia,60,8843.0,16279.677743040324,8080.5432076330435,45336.217539783174,-226834.4669248779
36,2020-06-03,Russia,60,8785.9,14938.233422030225,9264.676918655518,49422.98659680771,-376381.46202189865
37,2020-06-04,Russia,60,8779.6,17921.208517408646,8119.536177835144,59153.97638399131,-459990.0008546793
38,2020-06-05,Russia,60,8768.1,21337.806070949973,7709.8878840531925,70223.40989554377,-528294.5192499709
39,2020-06-06,Russia,60,8749.2,21801.739393238568,9730.958135013307,79225.70397153316,-596924.9204463543
40,2020-06-07,Russia,60,8800.9,28110.980501172104,10997.841519666863,93123.86347172558,-627422.7754613364
41,2020-06-08,Russia,60,8862.2,28707.505014058723,11741.399563974053,105599.56578990747,-748198.5892085498
42,2020-06-09,Russia,60,8903.5,31597.308964739375,12270.195745024299,123515.41368456779,-818521.5340625792
43,2020-06-10,Russia,60,8867.8,33807.45859897178,12243.063111441304,145037.89674608788,-891159.2051832486
44,2020-06-11,Russia,60,8781.4,34397.19816996376,11459.75984637441,172427.07510298927,-879916.0860975672
