,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Spain,30,1913.0,1947.526308931992,1949.5210006037028,11059.699486337151,1913.0879080020025
1,2020-04-29,Spain,30,2069.0,2090.913622635576,1751.1743215589395,13382.464591100223,-475.0903797522111
2,2020-04-30,Spain,30,1971.3,1225.410686028879,1628.5141158518663,16657.46844414414,1036.6424966637644
3,2020-05-01,Spain,30,1814.9,1744.9160866172233,1865.5836232268093,21444.40447079793,-69440.87339122508
4,2020-05-02,Spain,30,1707.1,885.1874808869816,2379.3355027573616,26304.467849847068,-134918.3373205344
5,2020-05-03,Spain,30,1509.0,-363.759588135129,3683.0847854304993,34242.74687080587,-83774.45073114101
6,2020-05-04,Spain,30,1344.2,-337.79003926935457,5975.587843698166,44907.0039670531,-112379.80813979525
7,2020-05-05,Spain,30,1197.5,-2829.7534581676164,5575.790657690902,54595.465347909776,-147123.98761265853
8,2020-05-06,Spain,30,1121.4,-3235.4805774289116,9747.013883173411,70342.60866783572,-186832.97979968385
9,2020-05-07,Spain,30,1047.5,-9262.599524122557,9282.523852712402,92024.47482836882,-305828.7422935069
10,2020-05-08,Spain,30,1012.3,-4593.496103524721,11046.926019620758,128317.40372573229,-476125.4546351655
11,2020-05-09,Spain,30,1001.9,-5386.184358144102,12865.823143658883,162623.05053147647,-606162.9750314156
12,2020-05-10,Spain,30,1219.4,-1523.6807819999622,20438.155003489435,211285.54032725038,-612198.8591711527
13,2020-05-11,Spain,30,1120.0,-13426.46544898978,39359.15566262943,273127.40005350765,-693129.6469224389
14,2020-05-12,Spain,30,1044.8,-7311.027668547012,62168.36455771813,362210.2019386508,-700534.9829439678
15,2020-05-13,Spain,30,995.2,-17902.692914422878,94711.58125054598,426278.11319461593,-696996.1772155978
16,2020-05-14,Spain,30,1033.5,-64704.986244400774,151081.2821440207,495884.8680508961,-718037.1761956279
17,2020-05-15,Spain,30,993.9,-108261.11240966883,207780.63128929437,583104.9915324647,-753164.1018218398
18,2020-05-16,Spain,30,957.4,-219347.01275791388,250843.5087206261,641952.10738849,-816785.4906874517
19,2020-05-17,Spain,30,930.5,-281030.1950606809,313787.76681692136,722783.1259787609,-747787.931005088
20,2020-05-18,Spain,30,838.8,-495785.0269770901,368650.57223156886,745744.2174750369,-704793.4284686733
21,2020-05-19,Spain,30,807.6,-647150.5302663357,391747.7459334153,976872.8724849978,-649155.1148312934
22,2020-05-20,Spain,30,517.8,-761002.3419534401,380846.2387082148,1192261.7579867844,-612953.7053433966
23,2020-05-21,Spain,30,526.7,-966710.3642987565,385033.7677189862,1266078.0350460007,-553913.0944087984
24,2020-05-22,Spain,30,657.2,-1223404.2917840162,595538.8812297252,1348065.0936888524,-536335.0883721156
25,2020-05-23,Spain,30,659.9,-1442170.6288057817,631732.1621966116,1444008.1074614106,-534286.4880674717
