,date,Country,Milestone,y_true,pred_HT_Reg,pred_HAT_Reg,pred_ARF_Reg,pred_PA_Reg
0,2020-04-28,Switzerland,30,208.4,177.17238306433484,203.8674181418741,375.04170345195223,208.47632440615735
1,2020-04-29,Switzerland,30,185.9,158.59435916254972,-108.81701270980068,961.5428626846698,20715.269562837755
2,2020-04-30,Switzerland,30,166.6,191.86412584616676,-256.5941953264711,570.7621276253302,22301.833288655012
3,2020-05-01,Switzerland,30,167.7,48.32273490709679,-383.7511902931068,793.1469356981295,36577.58034901124
4,2020-05-02,Switzerland,30,164.1,-42.234360503351695,-728.7657668715782,728.8645979955352,22844.579952716493
5,2020-05-03,Switzerland,30,154.8,-296.79713059154426,-671.7547897893288,490.444730451232,22402.434414293235
6,2020-05-04,Switzerland,30,140.8,-449.13431173042056,-892.5379513745737,1065.9278007376324,9500.064461953289
7,2020-05-05,Switzerland,30,130.3,51.8500118505973,-1625.2772170797903,2965.4350404300126,10967.485794586837
8,2020-05-06,Switzerland,30,111.5,-143.19794388017897,-2478.876422387335,1329.7666965228204,8323.524265390644
9,2020-05-07,Switzerland,30,99.9,3510.2087051880203,-5218.975794583886,10217.132878072258,17327.20334260006
10,2020-05-08,Switzerland,30,96.2,568.0129219637967,-5820.985408715589,3927.136257080333,11099.790433635206
11,2020-05-09,Switzerland,30,94.3,1593.378098854212,-4720.592027659044,5437.556303344115,9057.004134542281
12,2020-05-10,Switzerland,30,84.4,1046.4893898713249,-4018.543136993147,5015.187841317311,2494.7961766321546
13,2020-05-11,Switzerland,30,71.9,1916.844211337821,-7645.124162834611,11577.086671996807,-7607.132026481906
14,2020-05-12,Switzerland,30,63.9,3856.6206712561393,-7703.542465134487,13574.343187375864,-6993.152083021041
15,2020-05-13,Switzerland,30,56.3,6481.405537322099,-12558.008555310978,13451.229233126698,-5625.464731248589
16,2020-05-14,Switzerland,30,50.8,9211.073413691465,-15527.33472862075,26266.967737513834,-1071.682085373503
17,2020-05-15,Switzerland,30,48.2,5963.696159311096,-18031.17438695163,12249.229860535175,-4903.428763240334
18,2020-05-16,Switzerland,30,50.5,33313.40615094844,-28693.912799331592,60449.118566172445,-9757.72858072922
19,2020-05-17,Switzerland,30,51.2,-174.89427865306845,-28760.61499621257,10119.666731431345,-19716.43959229777
20,2020-05-18,Switzerland,30,46.1,16496.231014439392,-13542.375104781564,28941.728370219782,-21146.388662926314
21,2020-05-19,Switzerland,30,39.0,12765.168269343816,-28034.04577691036,23443.76545816564,-22168.753192053846
22,2020-05-20,Switzerland,30,36.7,33064.39160377087,-37475.5556551675,75963.4236609508,-13485.43819711434
23,2020-05-21,Switzerland,30,35.3,37478.45217426915,-55841.505092592815,54122.76423503227,-11506.523778645356
24,2020-05-22,Switzerland,30,35.0,52680.41616922229,-64909.73210995098,89811.55129817463,-11429.847761240058
25,2020-05-23,Switzerland,30,32.7,37128.30357427327,-66303.48145530066,43174.81855809334,-17810.670425732424
26,2020-05-24,Switzerland,30,31.2,43572.4944597291,-56626.11732198492,69889.86829035394,-21970.017652840444
27,2020-05-25,Switzerland,30,27.3,33328.16762618027,-55767.4035542541,39832.939269845476,-23060.43974317533
28,2020-05-26,Switzerland,30,23.2,37566.17766095072,-52769.126971108235,64471.882672129446,-12541.875084009858
29,2020-05-27,Switzerland,30,18.9,40640.41025612047,-58592.058788541755,57675.82127974764,-12907.451972350062
30,2020-05-28,Switzerland,60,17.4,73.55527292702027,19.45112273861639,-1304.2163366078871,17.499457828437595
31,2020-05-29,Switzerland,60,19.9,2.7934703215380523,31.675852250617766,-1842.9341058806763,2498.876668263477
32,2020-05-30,Switzerland,60,21.0,-40.22953113837775,-46.421640159039384,-2577.172509917641,6128.7548352422755
33,2020-05-31,Switzerland,60,18.7,-489.59258970937674,-274.8633771647907,-3105.4636305347494,1612.4542210122881
34,2020-06-01,Switzerland,60,16.8,-718.2264824105961,-27.45521613449563,-3852.9681724390293,1210.3571936962217
35,2020-06-02,Switzerland,60,16.4,-346.4793954881753,-363.3578133861573,-4977.717218054115,388.5569883861316
36,2020-06-03,Switzerland,60,14.9,16.895583568534676,-59.0385875051677,-6259.789148232996,4818.054836248839
37,2020-06-04,Switzerland,60,15.7,174.91643624400433,229.59055789427575,-8148.806455030719,5893.436964885665
38,2020-06-05,Switzerland,60,16.7,-478.446755566188,362.07785264434557,-8915.012984486944,7543.573979365011
39,2020-06-06,Switzerland,60,17.5,-996.2439403732427,-695.0950993709449,-11287.555290344213,6315.398970137129
40,2020-06-07,Switzerland,60,19.5,-1442.9460901008838,-324.6852901798685,-14264.915067230377,3187.367125984584
41,2020-06-08,Switzerland,60,16.9,-833.2115811170357,-1260.8396567553077,-17708.498293515724,2534.904031730667
42,2020-06-09,Switzerland,60,14.4,-2539.03488936802,150.4886746307758,-19524.47243128986,3098.6301136934953
43,2020-06-10,Switzerland,60,14.3,-2771.0940863827286,404.64534613848116,-22284.36967152913,4751.0963364114505
44,2020-06-11,Switzerland,60,14.9,861.3698155509121,-221.15218567990735,-27094.418171132802,4644.834214449382
45,2020-06-12,Switzerland,60,17.3,-1344.5811510646613,-532.6748238299746,-31871.53162198561,4403.673426684255
46,2020-06-13,Switzerland,60,18.9,1844.447644277774,2522.5102173150076,-37924.63288000622,3096.0910038984402
47,2020-06-14,Switzerland,60,20.1,-5993.423324183892,-2230.3049213310273,-36907.63356203528,2085.414966435162
48,2020-06-15,Switzerland,60,20.4,-4520.3930182765425,-172.372143491236,-46682.733995164715,-627.8672805672642
49,2020-06-16,Switzerland,60,19.5,-5666.314875145121,-1000.0083053146246,-51344.84056083982,-252.9811605298288
50,2020-06-17,Switzerland,60,19.0,-952.5887410690322,1144.7412909457153,-59013.365264249456,418.993827258509
51,2020-06-18,Switzerland,60,21.8,-502.45252758447225,1526.8523765804748,-60812.09159925539,1953.3152610414809
52,2020-06-19,Switzerland,60,22.8,2490.5588583176336,3107.065981123024,-29935.029891582726,1715.2593849912687
53,2020-06-20,Switzerland,60,30.4,-441.2439689838691,1065.40808169307,-60123.101787255684,2184.6510911662
54,2020-06-21,Switzerland,60,28.1,-1175.2472449540492,1893.0787121958,-61249.37883612472,933.4873586227963
55,2020-06-22,Switzerland,60,24.8,-3743.2327348791573,964.0611362293611,-60423.53188406396,962.2067227044539
56,2020-06-23,Switzerland,60,24.7,-1050.240175027402,886.628071414223,-63502.545360153104,503.96256848866324
57,2020-06-24,Switzerland,60,23.8,-1440.117279951256,1975.979456392034,-64158.7297464731,1448.2605160481494
58,2020-06-25,Switzerland,60,25.9,2258.95055787313,3842.98489311429,-64941.68616596632,1953.8519181095326
59,2020-06-26,Switzerland,60,29.7,1880.303354758009,1566.9491147440676,-61303.4422182518,2453.7603973529044
60,2020-06-27,Switzerland,90,34.0,99.16055434550441,95.8013824170593,34.00021456007465,34.099347652183866
61,2020-06-28,Switzerland,90,37.2,117.60303062676826,118.57031038970808,92.187053702963,757.492943932636
62,2020-06-29,Switzerland,90,41.7,138.75847398778927,142.58434416035357,118.58549341394259,-118.45055153035864
63,2020-06-30,Switzerland,90,36.0,152.2277357333963,157.22209547646224,105.78419156801952,118.36530292242529
64,2020-07-01,Switzerland,90,42.2,173.11364039331096,178.7571172740015,194.6596993202976,-24.171875252734115
65,2020-07-02,Switzerland,90,64.2,202.07011508069013,204.2504772613922,176.3421731097426,-213.59866881391625
66,2020-07-03,Switzerland,90,65.7,233.7369473764874,233.95536785039224,180.29328682973147,-250.42865615924595
67,2020-07-04,Switzerland,90,76.8,252.91224040447446,250.73880921743574,200.92192858678632,187.06596816927123
68,2020-07-05,Switzerland,90,82.1,258.626815948952,271.265733312982,198.91083339760831,72.38962378892569
69,2020-07-06,Switzerland,90,83.9,268.572980345976,283.0113148031544,280.16294389097413,165.53903110509626
70,2020-07-07,Switzerland,90,82.7,285.87161827690755,293.03331172863585,256.5927342226657,-1122.033252688409
71,2020-07-08,Switzerland,90,81.2,301.71038909020945,303.39936220045587,276.8292259141337,315.36445311795705
72,2020-07-09,Switzerland,90,87.9,321.9573778127322,326.7578893902201,296.1111561095237,468.62650768116237
73,2020-07-10,Switzerland,90,93.2,338.8272464131978,348.7697766320021,330.1407239023871,895.6155737297723
74,2020-07-11,Switzerland,90,97.4,351.1469593642174,360.6341449760175,284.56651694163486,599.6784395143978
75,2020-07-12,Switzerland,90,86.2,357.09140016982053,363.69504849985015,319.7305128827793,499.4289456394442
76,2020-07-13,Switzerland,90,91.4,361.66470727252425,368.05187695060806,351.1912905831392,70.74653023179278
77,2020-07-14,Switzerland,90,84.4,369.5784857418829,377.6883522501097,330.4890843619605,466.26983017241633
78,2020-07-15,Switzerland,90,81.7,383.67803075713533,391.561716059709,330.42271852181955,-48.54503401244867
