,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-04-29,India,30,1562.0,1329.6978636668894,1417.0049995171394,2783.7957285526963,1450.5,2046.4475711284845,511.98828125
1,2020-04-30,India,30,1578.5,1329.2605620795878,1445.3997300566316,3224.9372691424824,1411.6,2408.132888647565,576.7745971679688
2,2020-05-01,India,30,1644.3,1334.011756524032,1425.0523910702414,5457.677559935598,1505.7,3585.246754727748,537.5841674804688
3,2020-05-02,India,30,1735.2,1334.011756524032,1429.2862023744417,7662.466172159188,1411.6,4851.718046987038,550.3723754882812
4,2020-05-03,India,30,1858.7,1334.011756524032,1432.9967875821158,8624.401616727488,1411.6,5439.509096335793,563.0408935546875
5,2020-05-04,India,30,1945.6,1334.011756524032,1428.8186219187978,9429.29475387754,1411.6,5905.2291934132345,531.7241821289062
6,2020-05-05,India,30,2192.7,1334.011756524032,1427.103575929625,11235.31585792886,1411.6,6856.576011631129,561.2454833984375
7,2020-05-06,India,30,2289.5,1334.011756524032,1425.8678947582744,11845.723005480624,1411.6,7415.391589269142,555.5568237304688
8,2020-05-07,India,30,2506.0,1334.011756524032,1422.0964853006503,12491.616153283789,1411.6,8215.297909695044,557.0604858398438
9,2020-05-08,India,30,2690.7,1334.011756524032,1432.0713321477067,12991.57771667473,1411.6,8656.651720577545,556.276611328125
10,2020-05-09,India,30,2833.0,1334.011756524032,1445.140159548829,12562.785978540689,1411.6,8796.20222606714,556.7935791015625
11,2020-05-10,India,30,2988.9,1334.011756524032,1420.4303262787619,15631.902167722028,1411.6,10580.952250072649,554.2921752929688
12,2020-05-11,India,30,3210.9,1334.011756524032,1434.9485049797615,17400.510318539917,1411.6,11722.010325779385,556.0368041992188
13,2020-05-12,India,30,3342.0,1334.011756524032,1434.9485049797615,27931.86888553603,1411.6,18049.32822690658,572.737548828125
14,2020-05-13,India,30,3430.1,1334.011756524032,1434.9485049797615,35027.20864366934,1411.6,21626.497117582127,586.0034790039062
15,2020-05-14,India,30,3547.0,1334.011756524032,1434.9485049797615,42748.3374096296,1411.6,27297.77379015936,584.3604736328125
16,2020-05-15,India,30,3553.7,1334.011756524032,1434.9485049797615,56581.14403436168,1411.6,33313.99533821484,578.2290649414062
17,2020-05-16,India,30,3654.9,1334.011756524032,1434.9485049797615,67067.37317811507,1411.6,40191.3685180361,545.3101806640625
18,2020-05-17,India,30,3797.5,1334.011756524032,1434.9485049797615,72548.01345066514,1411.6,43158.17345679804,405.82183837890625
19,2020-05-18,India,30,3982.7,1334.011756524032,1434.9485049797615,75106.71136944868,1411.6,46662.85321463642,454.68035888671875
20,2020-05-19,India,30,4147.7,1334.011756524032,1434.9485049797615,79321.08930548912,1411.6,49638.048918926856,281.6117248535156
21,2020-05-20,India,30,4381.1,1331.0568041430797,1434.9485049797615,79369.52148366922,1411.6,51748.7456483603,302.65716552734375
22,2020-05-21,India,30,4520.7,1331.0568041430797,1434.9485049797615,89673.98591304931,1411.6,59060.43225340509,337.99298095703125
23,2020-05-22,India,30,4769.1,1331.0568041430797,1434.9485049797615,103643.68475620015,1411.6,66654.38731239625,230.54299926757812
24,2020-05-23,India,30,5082.0,1331.0568041430797,1434.9485049797615,101576.41726141662,1411.6,68598.22892393894,347.8786315917969
25,2020-05-24,India,30,5386.5,1331.0568041430797,1434.9485049797615,116638.59370782349,1411.6,78088.77927742139,165.0836944580078
26,2020-05-25,India,30,5687.5,1331.0568041430797,1434.9485049797615,120689.6962354364,1411.6,81827.95741567132,86.97844696044922
27,2020-05-26,India,30,5944.0,1331.0568041430797,1434.9485049797615,129035.84787273692,1411.6,86726.77279217014,125.19741821289062
28,2020-05-27,India,30,6084.0,1331.0568041430797,1434.9485049797615,120304.51627642832,1450.5,84481.35665618523,21.35071563720703
29,2020-05-28,India,30,6216.4,1331.0568041430797,1434.9485049797615,128501.63062725664,1450.5,87733.36314115103,34.93097686767578
30,2020-05-29,India,60,6466.0,5491.5180057109565,6065.294523899424,1219.461505695126,6084.0,6657.337384101493,85.66366577148438
31,2020-05-30,India,60,6701.3,5491.5180057109565,6072.885346330359,-1048.147112185563,6084.0,7355.057924072382,83.79984283447266
32,2020-05-31,India,60,6978.4,5491.5180057109565,6103.049101732168,-10726.112520015444,6084.0,7499.983420662134,79.77031707763672
