,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-04-28,Mexico,30,1240.0,1087.1118518398273,1120.5619248092733,2571.44100324454,1161.8,2820.9446137541004,331.16156005859375
1,2020-04-29,Mexico,30,1344.2,1099.830585173161,1128.7814437139446,3739.698141035616,1161.8,4264.414333939791,331.4762268066406
2,2020-04-30,Mexico,30,1449.2,1086.9539125541132,1153.6595624512277,4227.41908106868,1161.8,5635.521779475115,336.62664794921875
3,2020-05-01,Mexico,30,1482.5,1103.2673518398274,1157.5092077781433,4695.7014749348,1161.8,7283.862131343082,341.2268981933594
4,2020-05-02,Mexico,30,1481.9,1095.073285173161,1153.3669128940764,4206.917919048107,1161.8,8270.756213903767,339.55755615234375
5,2020-05-03,Mexico,30,1486.8,1087.828910173161,1129.8812291220465,4379.336433309621,1161.8,9487.390679834756,347.8582458496094
6,2020-05-04,Mexico,30,1471.8,1090.527885173161,1150.4867158263098,7326.115950917315,1161.8,13311.917544234968,343.3067321777344
7,2020-05-05,Mexico,30,1562.8,1087.897210173161,1131.22029510787,10344.284803834145,1161.8,17392.106627521596,357.31707763671875
8,2020-05-06,Mexico,30,1667.5,1089.8535101731609,1130.5355766908176,12181.158092557604,1161.8,20492.30455530666,355.6719970703125
9,2020-05-07,Mexico,30,1794.8,1093.377110173161,1132.2990930723463,12101.092977894074,1161.8,21864.129723394268,346.1630859375
10,2020-05-08,Mexico,30,1851.7,1090.537110173161,1132.9895047806524,12333.98682795339,1161.8,23640.827135427025,350.9493713378906
11,2020-05-09,Mexico,30,1911.3,1090.537110173161,1129.2787087502982,12517.76921041741,1167.1,24837.958790566092,365.8573303222656
12,2020-05-10,Mexico,30,1887.1,1090.537110173161,1130.7833426176014,13148.818540777416,1161.8,24587.720212759355,369.7137145996094
13,2020-05-11,Mexico,30,1850.8,1093.377110173161,1130.9118732606057,16062.969940582994,1161.8,27682.654218160296,350.4500427246094
14,2020-05-12,Mexico,30,2007.1,1090.537110173161,1133.8964949535384,19802.54399104341,1161.8,31925.68571545574,339.9146423339844
15,2020-05-13,Mexico,30,2162.2,1090.537110173161,1131.3642412161912,20584.153359570948,1161.8,34894.415077000944,340.7179870605469
16,2020-05-14,Mexico,30,2347.6,1090.537110173161,1132.1924168482215,20509.79261616237,1161.8,36645.09449345569,311.9620361328125
17,2020-05-15,Mexico,30,2401.9,1090.537110173161,1130.4641744909852,22542.662457407077,1161.8,41027.781481057515,312.9115295410156
18,2020-05-16,Mexico,30,2538.6,1093.377110173161,1130.105073921686,22013.479595239798,1161.8,42183.70860533635,282.32171630859375
19,2020-05-17,Mexico,30,2527.2,1090.537110173161,1133.615356267407,25881.001881529133,1161.8,45778.2753611484,273.8241882324219
20,2020-05-18,Mexico,30,2452.1,1089.721710173161,1131.8699421692259,30623.714608792514,1161.8,50764.39015702105,91.04852294921875
21,2020-05-19,Mexico,30,2612.6,1090.537110173161,1132.5098475556208,37784.26111134932,1161.8,60282.713658428554,157.45623779296875
22,2020-05-20,Mexico,30,2816.0,1089.721710173161,1130.3650041329684,37797.12470779641,1161.8,65196.25978773888,217.4215087890625
23,2020-05-21,Mexico,30,3065.2,1090.537110173161,1129.7101057177329,35745.90015241137,1167.1,65578.78290256078,48.05002975463867
24,2020-05-22,Mexico,30,3168.8,1090.537110173161,1129.6717692943807,38348.22212890605,1161.8,70678.9779774875,64.44633483886719
25,2020-05-23,Mexico,30,3274.8,1089.721710173161,1131.919406535193,38476.40680491262,1167.1,72651.77643546935,72.18838500976562
26,2020-05-24,Mexico,30,3190.9,1089.721710173161,1131.3421544735754,46649.879807752266,1161.8,80189.13342887383,54.616371154785156
27,2020-05-25,Mexico,30,3072.0,1089.721710173161,1129.6344258685263,52783.60300249522,1161.8,87252.15208286615,102.2068099975586
28,2020-05-26,Mexico,30,3186.4,1090.537110173161,1130.3823228149581,62214.604175494795,1167.1,100426.01969514778,41.236324310302734
