,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-04-28,Netherlands,30,779.6,895.9669484126987,874.2394942451338,1255.812898401595,863.1,923.8615527883821,951.943359375
1,2020-04-29,Netherlands,30,682.7,893.9507650793654,871.2229704360896,187.0445200960845,863.1,909.6281851322923,951.9431762695312
2,2020-04-30,Netherlands,30,614.7,892.9803650793655,865.2302721291785,2345.0160229062417,863.1,890.2549955356473,951.942626953125
3,2020-05-01,Netherlands,30,591.1,892.9803650793655,865.2302721291785,1660.1143750818544,863.1,867.760654230246,951.9420166015625
4,2020-05-02,Netherlands,30,565.7,892.9803650793655,865.2302721291785,1236.337609454288,863.1,850.6296007488605,951.9415283203125
5,2020-05-03,Netherlands,30,539.4,892.9803650793655,865.2302721291785,-465.64587853737373,863.1,838.0576768056609,951.9409790039062
6,2020-05-04,Netherlands,30,484.2,892.9803650793655,865.2302721291785,-2544.04214017233,863.1,809.8736731725987,951.9374389648438
7,2020-05-05,Netherlands,30,423.5,892.9803650793655,865.2302721291785,-3781.181924023958,863.1,779.6301923380835,951.9248046875
8,2020-05-06,Netherlands,30,389.7,892.9803650793655,865.2302721291785,-4903.760396408002,863.1,747.9775090840936,951.85400390625
9,2020-05-07,Netherlands,30,347.4,892.9803650793655,865.2302721291785,-5514.205194437801,863.1,710.9508831523328,951.1239013671875
10,2020-05-08,Netherlands,30,352.9,892.9803650793655,865.2302721291785,-8011.262056657514,863.1,678.2167344964766,939.9735107421875
11,2020-05-09,Netherlands,30,367.7,892.9803650793655,865.2302721291785,-12467.527366243989,863.1,654.2673607254308,893.5308837890625
12,2020-05-10,Netherlands,30,358.0,892.9803650793655,865.2302721291785,-18823.423943149803,863.1,639.9325782069571,872.623046875
13,2020-05-11,Netherlands,30,331.1,892.9803650793655,865.2302721291785,-25323.102896665987,863.1,629.1530060755597,804.6936645507812
14,2020-05-12,Netherlands,30,299.7,892.9803650793655,865.2302721291785,-37647.145312672066,863.1,606.0437019684881,410.3219299316406
15,2020-05-13,Netherlands,30,274.8,892.9803650793655,865.2302721291785,-41849.666115254615,863.1,580.950952659924,89.312744140625
16,2020-05-14,Netherlands,30,264.0,892.9803650793655,865.2302721291785,-46581.374084909825,863.1,568.5771977074096,74.74983978271484
17,2020-05-15,Netherlands,30,271.1,892.9803650793655,865.2302721291785,-52699.23956951793,863.1,565.9865491263588,51.8929443359375
18,2020-05-16,Netherlands,30,259.4,892.9803650793655,865.2302721291785,-52146.67694443411,863.1,547.9645115641268,96.07170867919922
19,2020-05-17,Netherlands,30,255.1,892.9803650793655,865.2302721291785,-57425.42444590214,863.1,546.3887227300669,52.25212478637695
20,2020-05-18,Netherlands,30,222.1,892.9803650793655,865.2302721291785,-59950.66398107589,863.1,560.320256048275,31.435707092285156
21,2020-05-19,Netherlands,30,204.8,892.9803650793655,865.2302721291785,-60682.067415256155,863.1,562.1862555997516,47.912349700927734
22,2020-05-20,Netherlands,30,186.7,892.9803650793655,865.2302721291785,-61375.628532386865,863.1,544.3733412263866,67.04947662353516
23,2020-05-21,Netherlands,30,182.0,892.9803650793655,865.2302721291785,-57195.92078699918,863.1,528.1012249654366,125.58760833740234
24,2020-05-22,Netherlands,30,191.2,892.9803650793655,865.2302721291785,-53900.43116617907,863.1,515.7310154781359,127.23133087158203
25,2020-05-23,Netherlands,30,190.4,892.9803650793655,865.2302721291785,-48741.69231688764,863.1,515.0577587670002,103.86975860595703
26,2020-05-24,Netherlands,30,185.3,892.9803650793655,865.2302721291785,-59436.36593840452,863.1,523.1428782541686,65.92111206054688
27,2020-05-25,Netherlands,30,175.5,892.9803650793655,865.2302721291785,-59388.12029334862,863.1,530.3540482125024,83.1751937866211
28,2020-05-26,Netherlands,30,176.4,892.9803650793655,865.2302721291785,-62116.240129875514,863.1,541.6258956819908,29.326602935791016
