,date,Country,Milestone,y_true,pred_RandomForest,pred_GradientBoosting,pred_LinearSVR,pred_DecisionTree,pred_BayesianRidge,pred_LSTM
0,2020-04-28,Singapore,30,937.3,770.1412777777778,874.6478665540769,1156.884391418395,919.7,1214.2621666209216,50.049560546875
1,2020-04-29,Singapore,30,895.9,727.9038658175158,866.9361895221624,1258.8249352122132,882.3,1384.6032395884336,36.5337028503418
2,2020-04-30,Singapore,30,905.3,753.8695644105895,880.8729140396078,1309.9474871678424,882.3,1508.5584835965687,39.287689208984375
3,2020-05-01,Singapore,30,815.5,798.863581132756,877.6438737583713,1427.9121701404417,826.0,1770.129599984422,29.450082778930664
4,2020-05-02,Singapore,30,797.6,800.8915561327559,872.3899712727729,1215.5988659404177,826.0,1709.2502137835331,27.819250106811523
5,2020-05-03,Singapore,30,740.7,817.3041037518036,870.5417057737574,1349.0166051215188,899.4,1937.7497075987126,23.001935958862305
6,2020-05-04,Singapore,30,702.7,826.8839477994226,876.808531475323,1528.2205435502335,826.0,2176.648588625934,32.34453201293945
7,2020-05-05,Singapore,30,670.3,805.8202287518035,870.2355960353117,1407.9517504166267,826.0,2145.445778503163,31.051651000976562
8,2020-05-06,Singapore,30,671.7,807.6087394660892,870.685643033731,1210.7350488453735,826.0,2067.261347612828,15.003889083862305
9,2020-05-07,Singapore,30,657.4,806.0096394660893,871.3756478074957,1920.0669470153368,826.0,2813.200077189138,3.5509793758392334
10,2020-05-08,Singapore,30,651.6,790.135637085137,867.7867122024072,2215.1634381183985,826.0,3302.495512968782,4.832931995391846
11,2020-05-09,Singapore,30,675.6,782.372337085137,835.3753569978131,1831.8315995673631,826.0,3080.0573629578307,31.72380256652832
12,2020-05-10,Singapore,30,681.9,730.0689342463094,830.5034457214247,1526.3048371221837,826.0,3126.6585023886287,64.1324691772461
13,2020-05-11,Singapore,30,716.7,683.0978916252867,804.2925654866901,1101.5298825336392,826.0,2885.8379343374904,68.69182586669922
14,2020-05-12,Singapore,30,668.6,558.396808022851,245.62442177079484,1723.8525811228292,305.2,3481.897062582934,69.8613510131836
15,2020-05-13,Singapore,30,712.3,651.4986065295816,800.7131760326872,2050.1930203055017,919.7,3835.0039191119636,75.09197998046875
16,2020-05-14,Singapore,30,714.1,704.241558770478,800.994529585849,2677.803729152669,826.0,4497.653253536045,77.43487548828125
17,2020-05-15,Singapore,30,732.0,682.180833123026,775.5726048413679,2559.017097685415,826.0,4479.896493952862,72.69562530517578
18,2020-05-16,Singapore,30,748.1,666.7000571831767,777.658190853438,2506.540882674262,436.9,4823.501800835801,69.54179382324219
19,2020-05-17,Singapore,30,715.8,691.6800071428573,571.5840338329054,2178.542247871714,826.0,5091.819116977379,58.86473083496094
20,2020-05-18,Singapore,30,709.9,696.2266795454547,766.7453334829745,2375.4295050952646,919.7,5183.256526393344,63.31840896606445
21,2020-05-19,Singapore,30,663.6,711.5954321428571,795.2664402253951,3159.591674205581,826.0,6105.832489675303,76.76373291015625
22,2020-05-20,Singapore,30,633.4,674.6800298867801,810.5506496380349,3813.3568709762103,826.0,7009.749400208726,109.1751480102539
23,2020-05-21,Singapore,30,602.8,693.0289624209128,796.4275233635387,3358.055735440344,826.0,7315.958758272529,145.57125854492188
24,2020-05-22,Singapore,30,602.5,674.5021268843905,770.9287054329596,4851.635078293826,826.0,8872.841186144335,151.8468780517578
25,2020-05-23,Singapore,30,575.5,577.5842951951558,252.12365216190756,6562.711756911945,305.2,11121.477933528973,154.85987854003906
26,2020-05-24,Singapore,30,572.2,681.4739597041848,787.5236469464178,6765.841163522622,826.0,11793.25782632297,160.68605041503906
27,2020-05-25,Singapore,30,551.8,712.1570636724388,816.5947138998944,8776.420029452353,826.0,14903.95768191708,159.85345458984375
28,2020-05-26,Singapore,30,506.9,692.4558390692641,793.7023634239499,9640.05575772493,826.0,16067.719414219611,162.73648071289062
29,2020-05-27,Singapore,30,498.7,694.3624513708517,781.8501864825546,14196.719959757187,436.9,21266.902973010587,160.6867218017578
30,2020-05-28,Singapore,60,483.8,651.8486379103365,593.6148436566787,2336.7956724122587,551.8,748.8328811538119,114.4889144897461
31,2020-05-29,Singapore,60,490.6,658.0464979238709,580.4497459912175,2011.830769817231,498.7,799.5294470829027,120.29646301269531
32,2020-05-30,Singapore,60,506.6,661.0719776483132,559.0724780960911,2224.071656560672,551.8,843.8349839982294,132.90887451171875
33,2020-05-31,Singapore,60,500.2,659.1270091168445,571.9766845515438,2876.178524699372,498.7,923.6623511023065,157.21343994140625
34,2020-06-01,Singapore,60,507.2,665.7124303181046,574.6935443938078,3998.545553554275,498.7,1001.8468583548507,229.4932098388672
35,2020-06-02,Singapore,60,486.6,678.6220342865953,638.3085699703518,4544.160781301467,498.7,1073.1777688937664,391.2655944824219
36,2020-06-03,Singapore,60,476.8,704.6578896716403,654.5500908686952,5853.718117574367,937.3,1121.1382629566785,439.80877685546875
37,2020-06-04,Singapore,60,478.9,671.1274917540663,557.3106528304818,7310.612139216669,572.2,1179.7570570616958,516.86279296875
38,2020-06-05,Singapore,60,496.2,669.5322219435495,588.633492147557,10819.138970842192,498.7,1194.323060112597,420.5244445800781
39,2020-06-06,Singapore,60,484.0,652.2888472301203,526.3277494739006,13157.769053031667,498.7,1248.7552199798793,521.7719116210938
40,2020-06-07,Singapore,60,465.1,658.3946642360128,558.9511857441,14440.824843180166,498.7,1266.334095580742,512.4562377929688
41,2020-06-08,Singapore,60,466.1,671.6986975040583,590.739903415502,16845.465189935112,498.7,1283.8177856131044,418.26202392578125
42,2020-06-09,Singapore,60,443.6,657.1548135526865,562.7727706340701,19111.051015231547,498.7,1296.2209720173407,373.7663269042969
43,2020-06-10,Singapore,60,414.8,661.0719776483132,561.8078188576962,19585.39970091647,498.7,1296.7211664191832,303.8761901855469
44,2020-06-11,Singapore,60,408.1,661.4854631398332,562.5582605597024,19013.39630103701,498.7,1304.4698921699792,373.8546142578125
45,2020-06-12,Singapore,60,409.5,665.7124303181046,605.4752084505036,19195.27141321918,498.7,1308.57566953462,433.8092956542969
46,2020-06-13,Singapore,60,401.4,676.7421368506979,630.6961892892741,17783.163728724016,657.4,1297.1427410214499,416.6412658691406
47,2020-06-14,Singapore,60,379.2,710.8968340168784,648.0890318102474,15250.015683591446,937.3,1275.8250090399506,485.67803955078125
48,2020-06-15,Singapore,60,368.2,677.1586416897162,595.3749780317651,10352.62585794646,498.7,1268.7542176851787,519.2910766601562
49,2020-06-16,Singapore,60,363.5,678.6226671816448,596.0578427452083,11150.242336251868,498.7,1260.4077859884542,551.613525390625
50,2020-06-17,Singapore,60,344.2,657.2125545713901,561.3910356115821,5268.3225891675165,551.8,1269.0657742883895,574.8486328125
51,2020-06-18,Singapore,60,330.6,657.2125545713901,576.3185166479102,2419.4474723919097,498.7,1249.5422362158738,548.3126831054688
52,2020-06-19,Singapore,60,317.7,646.4199703608637,577.4757758036465,-1222.8363061180955,498.7,1253.3233409853735,586.7085571289062
53,2020-06-20,Singapore,60,310.1,646.9356783087637,567.5080885877998,-1231.9408497162472,498.7,1248.0286612931159,591.8840942382812
54,2020-06-21,Singapore,60,286.8,652.6094117142471,572.411681296802,834.2989254761601,498.7,1235.5680303085364,608.1802368164062
55,2020-06-22,Singapore,60,270.8,659.5710085943786,561.6239036290992,3475.8425288303497,498.7,1241.5354517040132,612.455810546875
56,2020-06-23,Singapore,60,246.3,645.4136142861851,595.1079180453788,5719.194336665506,498.7,1240.4579598701066,611.8256225585938
57,2020-06-24,Singapore,60,223.5,649.526758534094,561.8242496660989,11585.663457184744,610.5,1248.4741187130662,623.4345092773438
58,2020-06-25,Singapore,60,201.9,659.353680992281,562.065214042507,25410.58291012725,498.7,1256.3249973854818,627.0200805664062
59,2020-06-26,Singapore,60,191.8,650.7087521904376,561.887366867915,30834.585895226905,498.7,1252.2552724186785,626.9995727539062
60,2020-06-27,Singapore,90,198.6,413.4119990894885,241.4245317647983,11064.667380980725,191.8,344.9906745820149,494.17486572265625
61,2020-06-28,Singapore,90,203.0,458.9412279479923,327.44532207315063,19609.946094172705,201.9,344.1749433012668,494.1533203125
62,2020-06-29,Singapore,90,198.6,431.6247298480285,292.5386628022256,36776.11924705299,191.8,345.89842229006615,493.9805908203125
63,2020-06-30,Singapore,90,204.6,411.13487271360805,250.4518464541215,54553.915925750036,408.1,347.5283490367267,493.3708801269531
64,2020-07-01,Singapore,90,207.4,413.71171649231457,258.6533072730717,64076.916620401615,191.8,349.10193252404406,482.7278137207031
65,2020-07-02,Singapore,90,202.7,416.6437802505372,253.34135369738956,87440.51186548309,223.5,351.31643234021806,476.4667663574219
66,2020-07-03,Singapore,90,199.7,404.2065619408415,250.3336114680249,99529.97591927617,191.8,352.7803489164412,420.4990539550781
67,2020-07-04,Singapore,90,204.7,404.3757730262,247.51737938671326,114991.16752000194,191.8,354.36092315220026,395.22857666015625
68,2020-07-05,Singapore,90,204.1,452.21191136074884,340.3748692545231,122665.73968003457,191.8,354.7721578769764,322.4834289550781
69,2020-07-06,Singapore,90,192.8,457.52743857314135,335.1402625690842,133101.67746379907,191.8,355.92716645350777,182.07965087890625
70,2020-07-07,Singapore,90,202.8,416.2209688062219,271.85995763683724,136773.12371474964,191.8,356.5221245701647,254.71453857421875
71,2020-07-08,Singapore,90,189.4,454.7614065010107,335.2918123417161,145808.19075751913,344.2,357.6718060514638,50.57366180419922
72,2020-07-09,Singapore,90,183.9,417.16207167193033,248.81530954803182,142748.03340786987,466.1,358.3493237083442,157.84649658203125
73,2020-07-10,Singapore,90,176.1,410.66866046515,266.5299426994037,147559.611356162,191.8,359.4935753033097,96.94918823242188
74,2020-07-11,Singapore,90,170.6,413.71171649231457,250.48997794993326,152986.4280055834,191.8,360.4931331100698,170.31829833984375
75,2020-07-12,Singapore,90,166.1,449.23709462589284,342.26551893207716,156363.95566728586,191.8,361.7712169311709,251.72140502929688
76,2020-07-13,Singapore,90,165.1,415.61538707333705,290.4746071920868,165848.42260148554,191.8,363.60711391613637,319.666015625
77,2020-07-14,Singapore,90,180.4,410.66866046515,252.7404333537717,170969.53777924945,500.2,365.2334343157885,379.07379150390625
78,2020-07-15,Singapore,90,196.5,413.71171649231457,272.3047946474009,188173.67678874094,191.8,367.1479776160654,280.56304931640625
79,2020-07-16,Singapore,90,221.4,457.5266752694209,369.0641747167603,193380.000438344,414.8,368.66877651270374,185.666748046875
80,2020-07-17,Singapore,90,214.3,474.58054997398926,392.2314917899233,213249.13446260145,408.1,370.93140330741846,2.0189030170440674
81,2020-07-18,Singapore,90,231.3,464.75658397712357,351.5349074140357,205915.21053571417,191.8,372.95551872565204,5.824924468994141
