date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-29,90,China,113,27.0,0.0,0.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,92.9
2020-03-30,91,China,98,0.0,0.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,92.8
2020-03-31,92,China,84,0.0,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,96.0
2020-04-01,93,China,54,17.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,94.9
2020-04-02,94,China,100,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,91.1
2020-04-03,95,China,70,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,91.2
2020-04-04,96,China,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,218.0,89.6
2020-04-05,97,China,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,218.0,515.0,84.2
2020-04-06,98,China,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,218.0,515.0,410.0,81.5
2020-04-07,99,China,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,136.0,19.0,151.0,140.0,97.0,259.0,441.0,665.0,787.0,1753.0,1466.0,1740.0,1980.0,2095.0,2590.0,2812.0,3237.0,3872.0,3727.0,3160.0,3418.0,2607.0,2974.0,2490.0,2028.0,15141.0,4156.0,2538.0,2007.0,2052.0,1890.0,1750.0,394.0,891.0,826.0,647.0,218.0,515.0,410.0,439.0,75.2
