date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-10,1,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-12,2,Cyprus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-14,3,Cyprus,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666666666667
2020-03-15,4,Cyprus,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2020-03-16,5,Cyprus,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2020-03-17,6,Cyprus,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667
2020-03-18,7,Cyprus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.714285714285714
2020-03-19,8,Cyprus,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25
2020-03-20,9,Cyprus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.444444444444445
2020-03-21,10,Cyprus,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2020-03-22,11,Cyprus,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2020-03-23,12,Cyprus,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2020-03-24,13,Cyprus,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2020-03-25,14,Cyprus,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2020-03-26,15,Cyprus,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2020-03-27,16,Cyprus,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2020-03-28,17,Cyprus,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2020-03-29,18,Cyprus,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
2020-03-30,19,Cyprus,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2020-03-31,20,Cyprus,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
2020-04-01,21,Cyprus,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8
2020-04-02,22,Cyprus,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5
2020-04-03,23,Cyprus,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
2020-04-04,24,Cyprus,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2
2020-04-05,25,Cyprus,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4
2020-04-06,26,Cyprus,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
2020-04-07,27,Cyprus,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3
2020-04-08,28,Cyprus,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5
2020-04-09,29,Cyprus,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2
2020-04-10,30,Cyprus,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4
2020-04-11,31,Cyprus,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3
2020-04-12,32,Cyprus,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6
2020-04-13,33,Cyprus,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7
2020-04-14,34,Cyprus,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6
2020-04-15,35,Cyprus,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9
2020-04-16,36,Cyprus,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9
2020-04-17,37,Cyprus,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0
2020-04-18,38,Cyprus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
2020-04-19,39,Cyprus,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5
2020-04-20,40,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3
2020-04-21,41,Cyprus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,17.7
2020-04-22,42,Cyprus,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,16.8
2020-04-23,43,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,15.7
2020-04-24,44,Cyprus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,13.3
2020-04-25,45,Cyprus,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.9
2020-04-26,46,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,9.5
2020-04-27,47,Cyprus,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,8.2
2020-04-28,48,Cyprus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,8.7
2020-04-29,49,Cyprus,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,7.6
2020-04-30,50,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,7.6
2020-05-01,51,Cyprus,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,7.8
2020-05-02,52,Cyprus,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,7.3
2020-05-03,53,Cyprus,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,7.4
2020-05-04,54,Cyprus,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,7.7
2020-05-05,55,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,7.0
2020-05-06,56,Cyprus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,6.8
2020-05-07,57,Cyprus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,6.6
2020-05-08,58,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,6.7
2020-05-09,59,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,5.4
2020-05-10,60,Cyprus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,4.9
2020-05-11,61,Cyprus,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,4.8
2020-05-12,62,Cyprus,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,4.4
2020-05-13,63,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,3.9
2020-05-14,64,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,3.3
2020-05-15,65,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,3.3
2020-05-16,66,Cyprus,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,3.2
2020-05-17,67,Cyprus,4,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,3.1
2020-05-18,68,Cyprus,2,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,2.7
2020-05-19,69,Cyprus,1,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,2.6
2020-05-20,70,Cyprus,1,,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,2.6
2020-05-21,71,Cyprus,4,,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,2.4
2020-05-22,72,Cyprus,1,,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,2.2
2020-05-23,73,Cyprus,4,,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,2.4
2020-05-24,74,Cyprus,0,,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,2.2
2020-05-25,75,Cyprus,8,,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,33.0,2.8
2020-05-26,76,Cyprus,2,,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,33.0,20.0,2.7
2020-05-27,77,Cyprus,2,,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,33.0,20.0,20.0,2.5
2020-05-28,78,Cyprus,0,,,,,,,,,,,,,2.0,4.0,8.0,7.0,9.0,10.0,0.0,18.0,0.0,9.0,17.0,11.0,21.0,8.0,8.0,14.0,16.0,17.0,35.0,16.0,32.0,58.0,36.0,40.0,30.0,20.0,19.0,29.0,32.0,38.0,31.0,21.0,17.0,29.0,33.0,20.0,20.0,0.0,2.3
