date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-12,1,Honduras,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-14,2,Honduras,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2020-03-16,3,Honduras,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-17,4,Honduras,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-18,5,Honduras,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020-03-19,6,Honduras,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-20,7,Honduras,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4285714285714284
2020-03-21,8,Honduras,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-22,9,Honduras,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.888888888888889
2020-03-23,10,Honduras,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2020-03-24,11,Honduras,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2020-03-25,12,Honduras,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2020-03-26,13,Honduras,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2020-03-27,14,Honduras,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2020-03-28,15,Honduras,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2020-03-29,16,Honduras,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2020-03-30,17,Honduras,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2020-03-31,18,Honduras,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2020-04-01,19,Honduras,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2020-04-02,20,Honduras,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
2020-04-03,21,Honduras,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
2020-04-04,22,Honduras,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8
2020-04-05,23,Honduras,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6
2020-04-06,24,Honduras,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1
2020-04-07,25,Honduras,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
2020-04-08,26,Honduras,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2020-04-09,27,Honduras,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4
2020-04-10,28,Honduras,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1
2020-04-11,29,Honduras,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
2020-04-12,30,Honduras,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4
2020-04-13,31,Honduras,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
2020-04-14,32,Honduras,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2020-04-15,33,Honduras,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1
2020-04-16,34,Honduras,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2020-04-17,35,Honduras,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2020-04-18,36,Honduras,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2020-04-19,37,Honduras,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2020-04-20,38,Honduras,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2020-04-21,39,Honduras,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2020-04-22,40,Honduras,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2020-04-23,41,Honduras,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.2
2020-04-24,42,Honduras,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.2
2020-04-25,43,Honduras,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,17.2
2020-04-26,44,Honduras,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,20.1
2020-04-27,45,Honduras,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,21.9
2020-04-28,46,Honduras,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,23.6
2020-04-29,47,Honduras,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,26.6
2020-04-30,48,Honduras,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,29.4
2020-05-01,49,Honduras,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,31.0
2020-05-02,50,Honduras,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,38.9
2020-05-03,51,Honduras,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,49.1
2020-05-04,52,Honduras,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,53.6
2020-05-05,53,Honduras,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,58.7
2020-05-06,54,Honduras,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,64.3
2020-05-07,55,Honduras,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,80.0
2020-05-08,56,Honduras,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,99.2
2020-05-09,57,Honduras,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,103.3
2020-05-10,58,Honduras,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,105.9
2020-05-11,59,Honduras,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,116.8
2020-05-12,60,Honduras,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,110.7
2020-05-13,61,Honduras,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,107.0
2020-05-14,62,Honduras,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,120.0
2020-05-15,63,Honduras,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,114.0
2020-05-16,64,Honduras,142,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,119.0
2020-05-17,65,Honduras,105,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,110.4
2020-05-18,66,Honduras,81,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,96.1
2020-05-19,67,Honduras,152,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,102.7
2020-05-20,68,Honduras,157,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,112.5
2020-05-21,69,Honduras,145,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,112.8
2020-05-22,70,Honduras,104,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,119.8
2020-05-23,71,Honduras,273,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,139.7
2020-05-24,72,Honduras,266,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,148.8
2020-05-25,73,Honduras,207,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,163.2
2020-05-26,74,Honduras,239,,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,172.9
2020-05-27,75,Honduras,212,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,183.6
2020-05-28,76,Honduras,239,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,199.4
2020-05-29,77,Honduras,112,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,15.0,195.4
2020-05-30,78,Honduras,134,,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,15.0,5.0,193.1
2020-05-31,79,Honduras,208,,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,15.0,5.0,17.0,199.4
2020-06-01,80,Honduras,108,,,,,,,,,,,2.0,1.0,3.0,2.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,6.0,16.0,15.0,28.0,15.0,29.0,2.0,31.0,47.0,3.0,42.0,4.0,30.0,7.0,7.0,31.0,39.0,10.0,1.0,4.0,10.0,12.0,7.0,16.0,15.0,15.0,5.0,17.0,16.0,199.8
