date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-25,1,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-03-26,2,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2020-03-27,3,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
2020-03-28,4,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2020-03-29,5,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-30,6,Libya,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333
2020-03-31,7,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1428571428571428
2020-04-01,8,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2020-04-02,9,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1111111111111112
2020-04-03,10,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
2020-04-04,11,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-04-05,12,Libya,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-04-06,13,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-04-07,14,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-04-08,15,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020-04-09,16,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
2020-04-10,17,Libya,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2020-04-11,18,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2020-04-12,19,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2020-04-13,20,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2020-04-14,21,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2020-04-15,22,Libya,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-04-16,23,Libya,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-04-17,24,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2020-04-18,25,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-04-19,26,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2020-04-20,27,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2020-04-21,28,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2020-04-22,29,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2020-04-23,30,Libya,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2020-04-24,31,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2020-04-25,32,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2020-04-26,33,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
2020-04-27,34,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-04-28,35,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-04-29,36,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-04-30,37,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-05-01,38,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-05-02,39,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-05-03,40,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-05-04,41,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3
2020-05-05,42,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.2
2020-05-06,43,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.2
2020-05-07,44,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.3
2020-05-08,45,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.3
2020-05-09,46,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.3
2020-05-10,47,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.3
2020-05-11,48,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.3
2020-05-12,49,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.1
2020-05-13,50,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.1
2020-05-14,51,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.1
2020-05-15,52,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.1
2020-05-16,53,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.1
2020-05-17,54,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.1
2020-05-18,55,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.1
2020-05-19,56,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,0.1
2020-05-20,57,Libya,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.4
2020-05-21,58,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,0.5
2020-05-22,59,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.7
2020-05-23,60,Libya,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.8
2020-05-24,61,Libya,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.1
2020-05-25,62,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,1.1
2020-05-26,63,Libya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.1
2020-05-27,64,Libya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,1.2
2020-05-28,65,Libya,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,3.4
2020-05-29,66,Libya,6,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,0.0,4.0
2020-05-30,67,Libya,13,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,0.0,0.0,5.0
2020-05-31,68,Libya,12,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,0.0,0.0,2.0,6.1
2020-06-01,69,Libya,26,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,8.5
2020-06-02,70,Libya,12,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,9.6
