date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-07,1,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-03-15,2,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2020-03-16,3,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333
2020-03-17,4,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2020-03-18,5,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2020-03-19,6,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666
2020-03-20,7,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285
2020-03-21,8,Togo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125
2020-03-22,9,Togo,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667
2020-03-23,10,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2020-03-24,11,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-03-25,12,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2020-03-26,13,Togo,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2020-03-27,14,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2020-03-28,15,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2020-03-29,16,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2020-03-30,17,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2020-03-31,18,Togo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2020-04-01,19,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2020-04-02,20,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2020-04-03,21,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2020-04-04,22,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2020-04-05,23,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020-04-06,24,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-04-07,25,Togo,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2020-04-08,26,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2020-04-09,27,Togo,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020-04-10,28,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2020-04-11,29,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2020-04-12,30,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020-04-13,31,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2020-04-14,32,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2020-04-15,33,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2020-04-16,34,Togo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2020-04-17,35,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2020-04-18,36,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020-04-19,37,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2020-04-20,38,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
2020-04-21,39,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2020-04-22,40,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-04-23,41,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2
2020-04-24,42,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.1
2020-04-25,43,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.3
2020-04-26,44,Togo,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.5
2020-04-27,45,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7
2020-04-28,46,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.6
2020-04-29,47,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2020-04-30,48,Togo,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.5
2020-05-01,49,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.2
2020-05-02,50,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.7
2020-05-03,51,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,3.5
2020-05-04,52,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,3.6
2020-05-05,53,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,3.6
2020-05-06,54,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,3.2
2020-05-07,55,Togo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0
2020-05-08,56,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,3.6
2020-05-09,57,Togo,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.6
2020-05-10,58,Togo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,4.4
2020-05-11,59,Togo,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,5.8
2020-05-12,60,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,5.8
2020-05-13,61,Togo,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,7.6
2020-05-14,62,Togo,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,9.5
2020-05-15,63,Togo,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,11.2
2020-05-16,64,Togo,25,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,13.5
2020-05-17,65,Togo,35,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,17.0
2020-05-18,66,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,16.6
2020-05-19,67,Togo,29,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,18.5
2020-05-20,68,Togo,8,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,18.5
2020-05-21,69,Togo,2,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,16.6
2020-05-22,70,Togo,14,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,17.3
2020-05-23,71,Togo,9,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,16.4
2020-05-24,72,Togo,10,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,15.4
2020-05-25,73,Togo,8,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,14.3
2020-05-26,74,Togo,5,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,12.3
2020-05-27,75,Togo,5,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,9.3
2020-05-28,76,Togo,4,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,9.4
2020-05-29,77,Togo,27,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,9.2
2020-05-30,78,Togo,6,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,9.0
2020-05-31,79,Togo,5,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,9.3
2020-06-01,80,Togo,9,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,8.8
2020-06-02,81,Togo,1,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,8.0
2020-06-03,82,Togo,2,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,7.2
2020-06-04,83,Togo,7,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,7.1
2020-06-05,84,Togo,13,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,7.9
2020-06-06,85,Togo,20,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,9.4
2020-06-07,86,Togo,2,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,9.2
2020-06-08,87,Togo,8,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,7.3
2020-06-09,88,Togo,2,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,6.9
2020-06-10,89,Togo,4,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,6.8
2020-06-11,90,Togo,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,8.0
2020-06-12,91,Togo,2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,0.0,8.1
2020-06-13,92,Togo,1,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,0.0,1.0,8.0
2020-06-14,93,Togo,5,0.0,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,0.0,1.0,2.0,7.8
2020-06-15,94,Togo,1,0.0,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,0.0,1.0,2.0,2.0,6.6
2020-06-16,95,Togo,1,0.0,0.0,8.0,6.0,0.0,3.0,0.0,5.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,14.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,10.0,7.0,7.0,0.0,1.0,2.0,2.0,0.0,4.7
