date,day_no,country,cases,cases_t-89,cases_t-88,cases_t-87,cases_t-86,cases_t-85,cases_t-84,cases_t-83,cases_t-82,cases_t-81,cases_t-80,cases_t-79,cases_t-78,cases_t-77,cases_t-76,cases_t-75,cases_t-74,cases_t-73,cases_t-72,cases_t-71,cases_t-70,cases_t-69,cases_t-68,cases_t-67,cases_t-66,cases_t-65,cases_t-64,cases_t-63,cases_t-62,cases_t-61,cases_t-60,cases_t-59,cases_t-58,cases_t-57,cases_t-56,cases_t-55,cases_t-54,cases_t-53,cases_t-52,cases_t-51,cases_t-50,cases_t-49,cases_t-48,cases_t-47,cases_t-46,cases_t-45,cases_t-44,cases_t-43,cases_t-42,cases_t-41,cases_t-40,target
2020-03-24,1,United_States_Virgin_Islands,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
2020-03-25,2,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2020-03-26,3,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666666666667
2020-03-27,4,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2020-03-28,5,United_States_Virgin_Islands,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2020-03-29,6,United_States_Virgin_Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665
2020-03-30,7,United_States_Virgin_Islands,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.285714285714286
2020-04-01,8,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2020-04-02,9,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335
2020-04-03,10,United_States_Virgin_Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2020-04-04,11,United_States_Virgin_Islands,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2020-04-05,12,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2020-04-06,13,United_States_Virgin_Islands,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2020-04-07,14,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2020-04-08,15,United_States_Virgin_Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2020-04-09,16,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2020-04-10,17,United_States_Virgin_Islands,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-04-11,18,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-04-12,19,United_States_Virgin_Islands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2020-04-13,20,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2020-04-14,21,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
2020-04-15,22,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
2020-04-16,23,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
2020-04-17,24,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
2020-04-18,25,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2020-04-19,26,United_States_Virgin_Islands,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2020-04-20,27,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2020-04-21,28,United_States_Virgin_Islands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-04-22,29,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2020-04-23,30,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2020-04-24,31,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2020-04-25,32,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2020-04-26,33,United_States_Virgin_Islands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-04-27,34,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2020-04-28,35,United_States_Virgin_Islands,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
2020-04-29,36,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2020-04-30,37,United_States_Virgin_Islands,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
2020-05-01,38,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-05-02,39,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-05-03,40,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2020-05-04,41,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.2
2020-05-05,42,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,1.2
2020-05-06,43,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,1.1
2020-05-07,44,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,1.1
2020-05-08,45,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,0.7
2020-05-09,46,United_States_Virgin_Islands,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,0.9
2020-05-10,47,United_States_Virgin_Islands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.3
2020-05-11,48,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.3
2020-05-12,49,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.3
2020-05-13,50,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,0.3
2020-05-14,51,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.3
2020-05-15,52,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,0.3
2020-05-16,53,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.3
2020-05-17,54,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,0.3
2020-05-18,55,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.3
2020-05-19,56,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,0.1
2020-05-20,57,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0
2020-05-21,58,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0
2020-05-22,59,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0
2020-05-23,60,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0
2020-05-24,61,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
2020-05-25,62,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-26,63,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,64,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,65,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,66,United_States_Virgin_Islands,0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
